from_station,to_station,route_type
AGC,MTJ,TRUNK_HIGH_DENSITY
AGC,DHO,TRUNK_HIGH_DENSITY
AJJ,GDR,TRUNK_HIGH_DENSITY
AJJ,MAS,TRUNK_HIGH_DENSITY
AJJ,KPD,TRUNK_HIGH_DENSITY
ALD,FTP,TRUNK_HIGH_DENSITY
ALD,MZP,TRUNK_HIGH_DENSITY
ALJN,GZB,TRUNK_HIGH_DENSITY
ALJN,TDL,TRUNK_HIGH_DENSITY
AMLA,BZU,TRUNK_HIGH_DENSITY
AMLA,NGP,TRUNK_HIGH_DENSITY
ASN,DHN,TRUNK_HIGH_DENSITY
ASN,DGR,TRUNK_HIGH_DENSITY
ATP,GY,TRUNK_HIGH_DENSITY
ATP,DMM,TRUNK_HIGH_DENSITY
AWY,TCR,TRUNK_HIGH_DENSITY
AWY,ERN,TRUNK_HIGH_DENSITY
BBS,CTC,TRUNK_HIGH_DENSITY
BBS,KUR,TRUNK_HIGH_DENSITY
BCT,BDTS,TRUNK_HIGH_DENSITY
BCT,CSMT,TRUNK_HIGH_DENSITY
BDTS,BVI,TRUNK_HIGH_DENSITY
BH,BRC,TRUNK_HIGH_DENSITY
BH,ST,TRUNK_HIGH_DENSITY
BHC,BLS,TRUNK_HIGH_DENSITY
BHC,JJKR,TRUNK_HIGH_DENSITY
BINA,LAR,TRUNK_HIGH_DENSITY
BINA,BPL,TRUNK_HIGH_DENSITY
BL,ST,TRUNK_HIGH_DENSITY
BL,BVI,TRUNK_HIGH_DENSITY
BLS,KGP,TRUNK_HIGH_DENSITY
BPL,ET,TRUNK_HIGH_DENSITY
BPQ,CD,TRUNK_HIGH_DENSITY
BPQ,SKZR,TRUNK_HIGH_DENSITY
BRC,GDA,TRUNK_HIGH_DENSITY
BTE,MTJ,TRUNK_HIGH_DENSITY
BTE,BXN,TRUNK_HIGH_DENSITY
BWN,DGR,TRUNK_HIGH_DENSITY
BWN,HWH,TRUNK_HIGH_DENSITY
BXN,GGC,TRUNK_HIGH_DENSITY
BZA,KMT,TRUNK_HIGH_DENSITY
BZA,TEL,TRUNK_HIGH_DENSITY
BZA,EE,TRUNK_HIGH_DENSITY
BZU,ET,TRUNK_HIGH_DENSITY
CAPE,NCJ,TRUNK_HIGH_DENSITY
CAR,MZP,TRUNK_HIGH_DENSITY
CAR,DDU,TRUNK_HIGH_DENSITY
CBE,ED,TRUNK_HIGH_DENSITY
CBE,PGT,TRUNK_HIGH_DENSITY
CD,SEGM,TRUNK_HIGH_DENSITY
CHE,PSA,TRUNK_HIGH_DENSITY
CHE,VZM,TRUNK_HIGH_DENSITY
CLX,TEL,TRUNK_HIGH_DENSITY
CLX,OGL,TRUNK_HIGH_DENSITY
CNB,ETW,TRUNK_HIGH_DENSITY
CNB,FTP,TRUNK_HIGH_DENSITY
CNGR,KTYM,TRUNK_HIGH_DENSITY
CNGR,QLN,TRUNK_HIGH_DENSITY
CSMT,DR,TRUNK_HIGH_DENSITY
CTC,JJKR,TRUNK_HIGH_DENSITY
DD,PUNE,TRUNK_HIGH_DENSITY
DD,KWV,TRUNK_HIGH_DENSITY
DHD,RTM,TRUNK_HIGH_DENSITY
DHD,GDA,TRUNK_HIGH_DENSITY
DHN,GMO,TRUNK_HIGH_DENSITY
DHO,GWL,TRUNK_HIGH_DENSITY
DMM,HUP,TRUNK_HIGH_DENSITY
DOS,DDU,TRUNK_HIGH_DENSITY
DOS,GAYA,TRUNK_HIGH_DENSITY
DR,KYN,TRUNK_HIGH_DENSITY
ED,SA,TRUNK_HIGH_DENSITY
EE,TDD,TRUNK_HIGH_DENSITY
ERN,ERS,TRUNK_HIGH_DENSITY
ERS,KTYM,TRUNK_HIGH_DENSITY
ETW,TDL,TRUNK_HIGH_DENSITY
FDB,NDLS,TRUNK_HIGH_DENSITY
FDB,MTJ,TRUNK_HIGH_DENSITY
GAYA,GMO,TRUNK_HIGH_DENSITY
GDR,NLR,TRUNK_HIGH_DENSITY
GGC,SWM,TRUNK_HIGH_DENSITY
GTL,RC,TRUNK_HIGH_DENSITY
GTL,GY,TRUNK_HIGH_DENSITY
GWL,JHS,TRUNK_HIGH_DENSITY
GZB,NDLS,TRUNK_HIGH_DENSITY
HUP,YPR,TRUNK_HIGH_DENSITY
HWH,KGP,TRUNK_HIGH_DENSITY
JHS,LAR,TRUNK_HIGH_DENSITY
JTJ,KPD,TRUNK_HIGH_DENSITY
JTJ,SA,TRUNK_HIGH_DENSITY
KMT,WL,TRUNK_HIGH_DENSITY
KOTA,SWM,TRUNK_HIGH_DENSITY
KOTA,RTM,TRUNK_HIGH_DENSITY
KUR,PSA,TRUNK_HIGH_DENSITY
KWV,SUR,TRUNK_HIGH_DENSITY
KYN,LNL,TRUNK_HIGH_DENSITY
KZJ,RDM,TRUNK_HIGH_DENSITY
KZJ,WL,TRUNK_HIGH_DENSITY
LNL,PUNE,TRUNK_HIGH_DENSITY
MTJ,NDLS,TRUNK_HIGH_DENSITY
NCJ,TVC,TRUNK_HIGH_DENSITY
NGP,SEGM,TRUNK_HIGH_DENSITY
NLR,OGL,TRUNK_HIGH_DENSITY
PGT,TCR,TRUNK_HIGH_DENSITY
QLN,VAK,TRUNK_HIGH_DENSITY
RC,WADI,TRUNK_HIGH_DENSITY
RDM,SKZR,TRUNK_HIGH_DENSITY
SBC,YPR,TRUNK_HIGH_DENSITY
SLO,VSKP,TRUNK_HIGH_DENSITY
SLO,TDD,TRUNK_HIGH_DENSITY
SUR,WADI,TRUNK_HIGH_DENSITY
TVC,VAK,TRUNK_HIGH_DENSITY
VSKP,VZM,TRUNK_HIGH_DENSITY
